# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
82368 82368 0  82368
      912     69967 1
      913     79986 1
      914     79580 1
      915     79552 1
      916     75177 1
      917     75751 1
      918     75191 1
      919     75745 1
      920     73488 1
      921     72919 1
      922     74057 1
      923     72336 1
      924     71744 1
      925     72355 1
      926     66120 1
      927     65424 1
      928     63925 1
      929     63916 1
      930     64679 1
      931     65401 1
      932     66101 1
      933     77503 1
      934     76972 1
      935     76978 1
      936     76483 1
      937     67450 1
      938     67460 1
      939     68721 1
      940     68097 1
      941     69340 1
      942     66758 1
      943     67427 1
      944     68074 1
      945     74632 1
      946     79054 1
      947     78585 1
      948     71135 1
      949     71763 1
      950     76960 1
      951     76473 1
      952     78880 1
      953     79353 1
      954     78396 1
      955     78375 1
      956     66774 1
      957     79935 1
      958     79549 1
      959     63062 1
      960     62024 1
      961     62119 1
      962     75732 1
      963     77318 1
      964     76786 1
      965     77861 1
      966     77343 1
      967     77879 1
      968     79854 1
      969     75963 1
      970     63952 1
      971     62133 1
      972     63083 1
      973     61087 1
      974     76290 1
      975     76814 1
      976     76809 1
      977     60959 1
      978     59933 1
      979     64704 1
      980     76268 1
      981     80187 1
      982     79819 1
      983     79410 1
      984     62020 1
      985     61996 1
      986     60950 1
      987     60956 1
      988     51422 1
      989     51430 1
      990     59934 1
      991     58660 1
      992     55970 1
      993     55972 1
      994     75934 1
      995     75961 1
      996     75942 1
      997     75400 1
      998     76464 1
      999     78580 1
     1000     75962 1
     1001     74848 1
     1002     75407 1
     1003     58668 1
     1004     57228 1
     1005     57330 1
     1006     57323 1
     1007     55954 1
     1008     54546 1
     1009     55955 1
     1010     57369 1
     1011     59795 1
     1012     53001 1
     1013     54502 1
     1014     54497 1
     1015     51400 1
     1016     51405 1
     1017     58657 1
     1018     55965 1
     1019     54529 1
     1020     53019 1
     1021     55934 1
     1022     55924 1
     1023     54519 1
     1024     51426 1
     1025     54506 1
     1026     58692 1
     1027     60946 1
     1028     58664 1
     1029     58647 1
     1030     52959 1
     1031     55928 1
     1032     57372 1
     1033     51329 1
     1034     54484 1
     1035     52989 1
     1036     55865 1
     1037     51346 1
     1038     51330 1
     1039     54492 1
     1040     55941 1
     1041     55870 1
     1042     74844 1
     1043     55938 1
     1044     57320 1
     1045     54522 1
     1046     52996 1
     1047     55882 1
     1048     54478 1
     1049     51341 1
     1050     52982 1
     1051     52997 1
     1052     57239 1
     1053     55875 1
     1054     52988 1
     1055     57243 1
     1056     57247 1
     1057     51356 1
     1058     74845 1
     1059     53014 1
     1060     54490 1
     1061     55949 1
     1062     57240 1
     1063     51408 1
     1064     52958 1
     1065     51352 1
     1066     55867 1
     1067     52951 1
     1068     79835 1
     1069     54483 1
     1070     80012 1
     1071     79991 1
     1072     80013 1
     1073     79967 1
     1074     79970 1
     1075     79999 1
     1076     80008 1
     1077     80000 1
     1078     79996 1
     1079     79963 1
     1080     79962 1
     1081     79623 1
     1082     79621 1
     1083     79639 1
     1084     79987 1
     1085     79981 1
     1086     79698 1
     1087     79701 1
     1088     79709 1
     1089     79710 1
     1090     79723 1
     1091     79724 1
     1092     79692 1
     1093     79688 1
     1094     79717 1
     1095     79718 1
     1096     79636 1
     1097     79629 1
     1098     79630 1
     1099     79686 1
     1100     79682 1
     1101     80190 1
     1102     80183 1
     1103     80179 1
     1104     80066 1
     1105     80060 1
     1106     80064 1
     1107     80051 1
     1108     80044 1
     1109     80039 1
     1110     80048 1
     1111     80055 1
     1112     79678 1
     1113     80241 1
     1114     79930 1
     1115     80189 1
     1116     79754 1
     1117     79748 1
     1118     79744 1
     1119     79741 1
     1120     79750 1
     1121     79736 1
     1122     79869 1
     1123     79841 1
     1124     79360 1
     1125     79359 1
     1126     79877 1
     1127     79878 1
     1128     79048 1
     1129     79430 1
     1130     79415 1
     1131     79300 1
     1132     79289 1
     1133     78860 1
     1134     78854 1
     1135     79435 1
     1136     77532 1
     1137     78062 1
     1138     78568 1
     1139     77010 1
     1140     77965 1
     1141     78475 1
     1142     78957 1
     1143     78963 1
     1144     76963 1
     1145     76966 1
     1146     76967 1
     1147     76958 1
     1148     79524 1
     1149     79063 1
     1150     78590 1
     1151     78548 1
     1152     75172 1
     1153     74606 1
     1154     74033 1
     1155     72904 1
     1156     73465 1
     1157     72341 1
     1158     68703 1
     1159     69324 1
     1160     69947 1
     1161     68082 1
     1162     70535 1
     1163     71160 1
     1164     70561 1
     1165     69975 1
     1166     69385 1
     1167     69343 1
     1168     79579 1
     1169     79136 1
     1170     79096 1
     1171     75726 1
     1172     76285 1
     1173     75197 1
     1174     74639 1
     1175     75205 1
     1176     75755 1
     1177     73503 1
     1178     72935 1
     1179     72377 1
     1180     74070 1
     1181     71750 1
     1182     71140 1
     1183     71766 1
     1184     71802 1
     1185     65421 1
     1186     65429 1
     1187     66121 1
     1188     63926 1
     1189     63070 1
     1190     63055 1
     1191     64690 1
     1192     63939 1
     1193     65415 1
     1194     66098 1
     1195     66755 1
     1196     77434 1
     1197     76977 1
     1198     76467 1
     1199     75953 1
     1200     68098 1
     1201     67447 1
     1202     66780 1
     1203     68722 1
     1204     67434 1
     1205     78574 1
     1206     78575 1
     1207     70538 1
     1208     76442 1
     1209     75948 1
     1210     78886 1
     1211     78394 1
     1212     78361 1
     1213     79531 1
     1214     79532 1
     1215     62970 1
     1216     62964 1
     1217     62961 1
     1218     76266 1
     1219     77323 1
     1220     76790 1
     1221     77852 1
     1222     77337 1
     1223     77876 1
     1224     79460 1
     1225     75433 1
     1226     64699 1
     1227     63949 1
     1228     63075 1
     1229     62122 1
     1230     61071 1
     1231     76805 1
     1232     61993 1
     1233     58695 1
     1234     79805 1
     1235     79403 1
     1236     62960 1
     1237     62933 1
     1238     62929 1
     1239     61989 1
     1240     61985 1
     1241     49781 1
     1242     51417 1
     1243     49782 1
     1244     59919 1
     1245     59904 1
     1246     54568 1
     1247     54555 1
     1248     55981 1
     1249     75424 1
     1250     75425 1
     1251     76370 1
     1252     75393 1
     1253     75852 1
     1254     75426 1
     1255     74307 1
     1256     74867 1
     1257     59910 1
     1258     57356 1
     1259     58651 1
     1260     58644 1
     1261     54537 1
     1262     54535 1
     1263     54541 1
     1264     53047 1
