# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
81904 81904 0  81904
      962      3654 1
      963      3688 1
      964      3561 1
      965      4065 1
      966      3632 1
      967      3659 1
      968      3631 1
      969      3667 1
      970      3677 1
      971      3568 1
      972      3628 1
      973      3878 1
      974      3912 1
      975      3914 1
      976      3746 1
      977      3920 1
      978      3868 1
      979      3869 1
      980      3796 1
      981      3800 1
      982      3804 1
      983      4162 1
      984      4165 1
      985      4180 1
      986      4183 1
      987      4174 1
      988      4171 1
      989      4157 1
      990      4092 1
      991      4159 1
      992      3899 1
      993      3922 1
      994      4063 1
      995      3762 1
      996      4074 1
      997      4069 1
      998      4137 1
      999      4135 1
     1000      3906 1
     1001      3880 1
     1002      3910 1
     1003      3900 1
     1004      3929 1
     1005      4093 1
     1006      3946 1
     1007      3933 1
     1008      3958 1
     1009      3975 1
     1010      4003 1
     1011      3886 1
     1012      3890 1
     1013      4147 1
     1014      4120 1
     1015      3941 1
     1016      3812 1
     1017      3895 1
     1018      3955 1
     1019      4031 1
     1020      4125 1
     1021      4044 1
     1022      3988 1
     1023      4056 1
     1024      3964 1
     1025      4027 1
     1026      3957 1
     1027      4059 1
     1028      4146 1
     1029      3981 1
     1030      3989 1
     1031      4039 1
     1032      3997 1
     1033      3995 1
     1034      4005 1
     1035      4046 1
     1036      4132 1
     1037      4011 1
     1038      3741 1
     1039      4129 1
     1040      3703 1
     1041      3940 1
     1042      4018 1
     1043      3951 1
     1044      3968 1
     1045      4023 1
     1046      4144 1
     1047      3980 1
     1048      4036 1
     1049      3711 1
     1050      3834 1
     1051      3829 1
     1052      3662 1
     1053      4016 1
     1054      4051 1
     1055      4792 1
     1056      4791 1
     1057      4404 1
     1058      4369 1
     1059      4393 1
     1060      4397 1
     1061      4407 1
     1062      4378 1
     1063      4202 1
     1064      4329 1
     1065      4337 1
     1066      4324 1
     1067      4325 1
     1068      4344 1
     1069      4352 1
     1070      4454 1
     1071      4465 1
     1072      4470 1
     1073      4430 1
     1074      4427 1
     1075      4437 1
     1076      4438 1
     1077      4443 1
     1078      4453 1
     1079      4462 1
     1080      4209 1
     1081      4213 1
     1082      4217 1
     1083      4221 1
     1084      4227 1
     1085      4228 1
     1086      4230 1
     1087      4235 1
     1088      4236 1
     1089      4382 1
     1090      4383 1
     1091      4389 1
     1092      4353 1
     1093      4354 1
     1094      4244 1
     1095      4248 1
     1096      4266 1
     1097      4272 1
     1098      4280 1
     1099      4825 1
     1100      4815 1
     1101      4807 1
     1102      4803 1
     1103      4813 1
     1104      4827 1
     1105      4818 1
     1106      4474 1
     1107      4317 1
     1108      4306 1
     1109      4312 1
     1110      4313 1
     1111      4301 1
     1112      4302 1
     1113      4363 1
     1114      4193 1
     1115      4284 1
     1116      4197 1
     1117      4780 1
     1118      4773 1
     1119      4253 1
     1120      4260 1
     1121      4285 1
     1122      4254 1
     1123      4293 1
     1124      4198 1
     1125      4484 1
     1126      4523 1
     1127      4364 1
     1128      4187 1
     1129      4530 1
     1130      4481 1
     1131      4480 1
     1132      4409 1
     1133      4413 1
     1134      4417 1
     1135      4908 1
     1136      4917 1
     1137      4923 1
     1138      4931 1
     1139      4939 1
     1140      4944 1
     1141      4927 1
     1142      4796 1
     1143      4914 1
     1144      4800 1
     1145      4913 1
     1146      4510 1
     1147      4526 1
     1148      4374 1
     1149      4787 1
     1150      4783 1
     1151      4859 1
     1152      4854 1
     1153      4511 1
     1154      4493 1
     1155      4515 1
     1156      4541 1
     1157      4542 1
     1158      4543 1
     1159      4554 1
     1160      4646 1
     1161      4641 1
     1162      4658 1
     1163      4685 1
     1164      4499 1
     1165      4864 1
     1166      4840 1
     1167      4504 1
     1168      4428 1
     1169      4500 1
     1170      4636 1
     1171      4716 1
     1172      4830 1
     1173      4849 1
     1174      4728 1
     1175      4674 1
     1176      4740 1
     1177      4647 1
     1178      4711 1
     1179      4750 1
     1180      4747 1
     1181      4666 1
     1182      4667 1
     1183      4675 1
     1184      4723 1
     1185      4679 1
     1186      4689 1
     1187      4733 1
     1188      4850 1
     1189      4695 1
     1190      4548 1
     1191      4708 1
     1192      4703 1
     1193      4556 1
     1194      4562 1
     1195      4652 1
     1196      4571 1
     1197      4861 1
     1198      4660 1
     1199      4720 1
     1200      4331 1
     1201      4449 1
     1202      4445 1
     1203      4286 1
     1204      4700 1
     1205      4736 1
     1206      4868 1
     1207      4584 1
     1208      4751 1
     1209      4624 1
     1210      4613 1
     1211      4609 1
     1212      4770 1
     1213      4606 1
     1214      4889 1
     1215      4595 1
     1216      4591 1
     1217      4894 1
     1218      4585 1
     1219      4899 1
     1220      4249 1
     1221      4839 1
